Probability Level,PW,KI,CAPE_V,CT,SWEAT,LI,SI
95% (Very High),≥ 60.46,≥ 35.60,≥ 2325.28,≥ 19.80,≥ 223.40,≤ -3.51,≤ -0.25
85% (High),≥ 55.43,≥ 34.10,≥ 2196.30,≥ 18.90,≥ 216.20,≤ -3.47,≤ 0.40
75% (Moderately High),≥ 50.59,≥ 32.90,≥ 1799.40,≥ 17.90,≥ 215.85,≤ -2.85,≤ 0.79
65% (Moderate),≥ 41.59,≥ 26.75,≥ 1540.90,≥ 15.10,≥ 157.45,≤ -2.08,≤ 3.08
55% (Moderately Low),≥ 29.40,≥ 16.35,≥ 976.69,≥ 10.35,≥ 83.40,≤ -1.54,≤ 6.55
45% (Low),≥ 22.54,≥ -10.60,≥ 56.39,≥ 7.05,≥ 59.40,≤ 1.45,≤ 10.14
<35% (Very Low),≥ 17.35,≥ -26.70,≥ 0.00,≥ -7.00,≥ 39.84,≤ 6.36,≤ 16.01
