Model,TN,FP,FN,TP,Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1,CSI,FAR,ROC AUC,MCC,Kappa
CatBoost,981,238,60,113,0.7859195402298851,0.728968594555378,0.32193732193732194,0.653179190751445,0.8047579983593103,0.4312977099236641,0.27493917274939106,0.6780626780626761,0.7990369249882638,0.34789797064296013,0.31769419799263765
Equal Ensemble,1000,219,69,104,0.7931034482758621,0.7107503070364698,0.3219814241486068,0.6011560693641619,0.820344544708777,0.41935483870967744,0.2653061224489789,0.678018575851391,0.806664232503663,0.32940713535505173,0.3072161527906905
XGBoost,980,239,64,109,0.7823275862068966,0.7169977286414051,0.3132183908045977,0.630057803468208,0.8039376538146016,0.418426103646833,0.26456310679611583,0.6867816091954003,0.8070910013419509,0.33065128646763237,0.30264672036823936
Stacking,1023,196,78,95,0.8031609195402298,0.6941727086069791,0.32646048109965636,0.5491329479768786,0.8392124692370789,0.40948275862068967,0.25745257452574455,0.6735395189003412,0.8067638118992636,0.31506701246339824,0.30042809820947103
LightGBM,989,230,71,102,0.7837643678160919,0.7004580652197623,0.3072289156626506,0.5895953757225434,0.8113207547169805,0.403960396039604,0.25310173697270405,0.6927710843373472,0.8050946715539601,0.3103533659273636,0.287535198813783
Optimized Ensemble,1042,177,86,87,0.8110632183908046,0.6788445944984756,0.32954545454545453,0.5028901734104047,0.8547990155865457,0.39816933638443935,0.24857142857142783,0.6704545454545429,0.807266450753247,0.30100534333534057,0.2918291550603528
