Model,TN,FP,FN,TP,Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1,CSI,FAR,ROC AUC,MCC,Kappa
Equal Ensemble,1000,219,69,104,0.7931034482758621,0.7107503070364698,0.3219814241486068,0.6011560693641619,0.820344544708777,0.41935483870967744,0.2653061224489789,0.678018575851391,0.806664232503663,0.32940713535505173,0.3072161527906905
LightGBM,956,263,60,113,0.7679597701149425,0.7187142877465182,0.300531914893617,0.653179190751445,0.7842493847415909,0.4116575591985428,0.2591743119266049,0.699468085106381,0.8050946715539601,0.3250059249176478,0.29095175615664104
Stacking,1023,196,78,95,0.8031609195402298,0.6941727086069791,0.32646048109965636,0.5491329479768786,0.8392124692370789,0.40948275862068967,0.25745257452574455,0.6735395189003412,0.8067638118992636,0.31506701246339824,0.30042809820947103
XGBoost,892,327,48,125,0.7306034482758621,0.7271453432406929,0.27654867256637167,0.7225433526011561,0.7317473338802292,0.4,0.2499999999999995,0.7234513274336267,0.8070910013419509,0.32005572017584966,0.26850595845338054
Optimized Ensemble,1042,177,86,87,0.8110632183908046,0.6788445944984756,0.32954545454545453,0.5028901734104047,0.8547990155865457,0.39816933638443935,0.24857142857142783,0.6704545454545429,0.807266450753247,0.30100534333534057,0.2918291550603528
CatBoost,1168,51,145,28,0.8591954022988506,0.5600060696012557,0.35443037974683544,0.16184971098265896,0.9581624282198516,0.2222222222222222,0.12499999999999944,0.6455696202531565,0.7990369249882638,0.17112134013445546,0.15649404853918691
